Source	Target	Type
HOXB2PAX1_02	ENSG00000185024	regulate
SETDB1_01	ENSG00000197279	regulate
MECP2_Q4_01	ENSG00000117036	regulate
ENSG00000257923	CUX1FOXI1_01	protein
FOX_Q2	ENSG00000161940	regulate
FOXO3_01	ENSG00000143178	regulate
IRX5_01	ENSG00000196453	regulate
LHX3_01	ENSG00000197608	regulate
FOXC2_01	ENSG00000119725	regulate
AIRE_01	ENSG00000185610	regulate
ENSG00000184659	FOXD4L2_01	protein
NKX63_01	ENSG00000131264	regulate
CDX_Q5	ENSG00000204531	regulate
PITX1_01	ENSG00000028277	regulate
HOXB2NHLH1_03	ENSG00000176399	regulate
HDAC2_06	ENSG00000186051	regulate
ENSG00000115507	CRX_Q6	protein
SP2_07	ENSG00000179965	regulate
ZNF132_01	ENSG00000175592	regulate
FOXC1_03	ENSG00000118620	regulate
HNF3B_01	ENSG00000197020	regulate
BRN4_01	ENSG00000251192	regulate
HMGIY_Q3	ENSG00000168826	regulate
ENSG00000260027	HOXB7_01	protein
POU6F1_03	ENSG00000100968	regulate
BCL6_01	ENSG00000131849	regulate
ENSG00000115112	LBP9_01	protein
ENSG00000084093	NRSF_Q4	protein
ENSG00000179528	LBX2_01	protein
ENSG00000257923	CUX1TBX21_01	protein
HSF2_04	ENSG00000103343	regulate
IRF1_05	ENSG00000148200	regulate
HSF1_Q6_01	ENSG00000163795	regulate
IRXB3_01	ENSG00000173404	regulate
OCT1_08	ENSG00000081665	regulate
HNF6_Q6	ENSG00000142409	regulate
HDAC2_06	ENSG00000154957	regulate
RPC155_01	ENSG00000126746	regulate
ENSG00000124664	ELK1SPDEF_01	protein
STAT3_03	ENSG00000186020	regulate
ENSG00000175745	COUPTF_Q6	protein
MAFF_01	ENSG00000197063	regulate
ELK1_09	ENSG00000077463	regulate
FOXC1_02	ENSG00000127903	regulate
HNF3_Q6_01	ENSG00000142409	regulate
RUNX2_04	ENSG00000007372	regulate
ENSG00000135457	CP2_02	protein
STAT1_05	ENSG00000187140	regulate
HFH3_01	ENSG00000119950	regulate
SHOX2_01	ENSG00000161405	regulate
FOXP1_01	ENSG00000069399	regulate
IRX2_01	ENSG00000170802	regulate
ZBTB18_01	ENSG00000141956	regulate
FOXJ2_01	ENSG00000124766	regulate
HFH3_01	ENSG00000137265	regulate
ENSG00000068305	MMEF2_Q6	protein
ENSG00000175197	CHOP_01	protein
HDAC2_06	ENSG00000145908	regulate
NEUROD_02	ENSG00000164736	regulate
ENSG00000159216	AML1_Q4_02	protein
HDAC2_06	ENSG00000197928	regulate
FLI1FIGLA_01	ENSG00000131931	regulate
MEOX2_02	ENSG00000168779	regulate
RPC155_01	ENSG00000171448	regulate
ENSG00000143190	POU2F1EOMES_01	protein
ESX1_01	ENSG00000173039	regulate
FOXP1_01	ENSG00000204519	regulate
ZNF91_01	ENSG00000147133	regulate
POU2F3_01	ENSG00000082641	regulate
ENSG00000134852	TEAD4CLOCK_01	protein
HDAC2_06	ENSG00000122386	regulate
SHOX2_01	ENSG00000160352	regulate
HDAC2_06	ENSG00000081189	regulate
IRF1_05	ENSG00000104903	regulate
HDAC2_06	ENSG00000173575	regulate
SRY_08	ENSG00000066422	regulate
HDAC2_06	ENSG00000196646	regulate
HDAC2_06	ENSG00000165462	regulate
NFIA_01	ENSG00000143178	regulate
HOXB4_01	ENSG00000173039	regulate
ENSG00000141510	TP53_03	protein
BCL6_01	ENSG00000173875	regulate
HNF3_Q6_01	ENSG00000187098	regulate
FOXB1_02	ENSG00000118620	regulate
RPC155_01	ENSG00000165891	regulate
LXRBRXRA_Q5_01	ENSG00000214513	regulate
PU1_Q4	ENSG00000082258	regulate
FREAC7_01	ENSG00000136535	regulate
SPIB_01	ENSG00000020256	regulate
ENSG00000171786	ETV2NHLH1_02	protein
NFAT5_02	ENSG00000185869	regulate
CGBP_01	ENSG00000196214	regulate
RPC155_01	ENSG00000204595	regulate
IRF1_05	ENSG00000085644	regulate
FOXJ2_01	ENSG00000182986	regulate
BCL6_01	ENSG00000164330	regulate
FREAC7_01	ENSG00000124766	regulate
ENSG00000165030	E4BP4_01	protein
HNF3_Q6_01	ENSG00000114126	regulate
E2A_Q2	ENSG00000196247	regulate
ENSG00000176302	FOXR1_01	protein
HDAC2_06	ENSG00000274349	regulate
BCL6_01	ENSG00000186812	regulate
HNF1B_04	ENSG00000198440	regulate
HNF3_Q6_01	ENSG00000100393	regulate
ENSG00000171532	NEUROD2_01	protein
CRX_Q6	ENSG00000198346	regulate
HNF6_Q6_01	ENSG00000142065	regulate
RORB_03	ENSG00000196826	regulate
BCL6_01	ENSG00000160113	regulate
IRF1_05	ENSG00000112658	regulate
RPC155_01	ENSG00000197619	regulate
BCL6_01	ENSG00000134138	regulate
HNF3_Q6_01	ENSG00000188283	regulate
ENSG00000066136	NFY_Q6_01	protein
IRF1_05	ENSG00000105717	regulate
SRF_01	ENSG00000170345	regulate
ENSG00000106459	NRF1_02	protein
BCL6_01	ENSG00000171574	regulate
BCL6_01	ENSG00000250312	regulate
BCL6_01	ENSG00000257446	regulate
FOXP1_01	ENSG00000181135	regulate
ENSG00000066336	PU1_Q4	protein
ENSG00000175592	JUNFRA1_01	protein
AIRE_02	ENSG00000213973	regulate
CDX_Q5	ENSG00000118620	regulate
SIX3_Q6	ENSG00000256683	regulate
JUNDFOS_01	ENSG00000159216	regulate
ENSG00000105866	SP4_05	protein
FOXD3_04	ENSG00000167182	regulate
ENSG00000168269	FOXI1_03	protein
OTP_01	ENSG00000197608	regulate
EGR1_12	ENSG00000175395	regulate
HMGIY_Q3	ENSG00000105722	regulate
BCL6_01	ENSG00000185697	regulate
HNF3B_01	ENSG00000198464	regulate
BCL6_01	ENSG00000165495	regulate
IRX2_01	ENSG00000166478	regulate
ABL1_01	ENSG00000122386	regulate
MEF2_Q6_01	ENSG00000168348	regulate
BCL6_01	ENSG00000180479	regulate
HDAC2_06	ENSG00000083844	regulate
HDAC2_06	ENSG00000136367	regulate
RPC155_01	ENSG00000167562	regulate
IRF1_05	ENSG00000019549	regulate
HNF3_Q6_01	ENSG00000105750	regulate
ENSG00000091831	ERALPHA_Q6_02	protein
ENSG00000185177	ZNF479_01	protein
EGR1_12	ENSG00000159882	regulate
ENSG00000177311	ZBTB38_02	protein
ZNF263_02	ENSG00000151615	regulate
LXRBRXRA_Q5	ENSG00000143799	regulate
IRF1_05	ENSG00000067646	regulate
DMRT4_01	ENSG00000115507	regulate
ZNF677_02	ENSG00000177873	regulate
CDX_Q5	ENSG00000270011	regulate
ENSG00000143190	POU2F1FOXO6_01	protein
BCL6_01	ENSG00000137709	regulate
AMEF2_Q6	ENSG00000171940	regulate
HOXD12HOXA3_01	ENSG00000181638	regulate
BARX1_03	ENSG00000179528	regulate
RPC155_01	ENSG00000167967	regulate
GSH2_01	ENSG00000101057	regulate
HDAC2_06	ENSG00000185122	regulate
CUX1FOXI1_01	ENSG00000169554	regulate
MXI1_01	ENSG00000227124	regulate
BARX2_01	ENSG00000162676	regulate
ALX3_04	ENSG00000074047	regulate
ENSG00000143995	MEIS1HOXB13_01	protein
OTX1_01	ENSG00000065029	regulate
BCL6_01	ENSG00000196387	regulate
LXRBRXRA_Q5_01	ENSG00000131061	regulate
CRX_Q6	ENSG00000221818	regulate
JUND_05	ENSG00000112837	regulate
CRX_Q6	ENSG00000197933	regulate
OCT1_04	ENSG00000178229	regulate
OCT1_04	ENSG00000061455	regulate
HDAC2_06	ENSG00000258289	regulate
HNF1_C	ENSG00000214029	regulate
IRF1_05	ENSG00000171291	regulate
FOXP1_01	ENSG00000198466	regulate
ZFP14_01	ENSG00000164651	regulate
OTX1_01	ENSG00000125846	regulate
BCL6_01	ENSG00000122034	regulate
HDAC2_06	ENSG00000148737	regulate
OCT1_04	ENSG00000197566	regulate
LHX5_01	ENSG00000198740	regulate
IRF1_05	ENSG00000181666	regulate
HDAC2_06	ENSG00000186272	regulate
SETDB1_01	ENSG00000131848	regulate
HFH3_01	ENSG00000172262	regulate
HNF3_Q6_01	ENSG00000134317	regulate
FOXP1_01	ENSG00000171970	regulate
CEBPA_Q6	ENSG00000120837	regulate
UNCX_02	ENSG00000185630	regulate
ENSG00000185122	HSF1_02	protein
HNF3_Q6_01	ENSG00000118495	regulate
TTF1_Q6	ENSG00000113722	regulate
ENSG00000196466	ZNF799_02	protein
CDX2_Q6	ENSG00000181666	regulate
BCL6_01	ENSG00000119866	regulate
ENSG00000140968	IRF_Q6	protein
BCL6_01	ENSG00000182983	regulate
ENSG00000197933	ZNF823_02	protein
BCL6_01	ENSG00000107249	regulate
ARX_01	ENSG00000173039	regulate
ENSG00000091831	ESR1_04	protein
MEIS1AHOXA9_01	ENSG00000168813	regulate
HNF3_Q6_01	ENSG00000130675	regulate
SOX5_07	ENSG00000075407	regulate
RPC155_01	ENSG00000124827	regulate
TEAD4ESRRB_01	ENSG00000230797	regulate
HNF3_Q6_01	ENSG00000213020	regulate
LXRBRXRA_Q5_01	ENSG00000197483	regulate
FOXP1_01	ENSG00000196268	regulate
SHOX2_01	ENSG00000162676	regulate
HNF3_Q6_01	ENSG00000171827	regulate
UNCX_02	ENSG00000197483	regulate
HDAC2_06	ENSG00000134532	regulate
ENSG00000168875	SOX14_06	protein
E2F3EOMES_01	ENSG00000135457	regulate
ENSG00000089116	LHX5_01	protein
HNF3_Q6_01	ENSG00000171574	regulate
FOXJ2_01	ENSG00000100393	regulate
BCL6_01	ENSG00000075426	regulate
BCL6_01	ENSG00000168610	regulate
TBX4_02	ENSG00000113580	regulate
ENSG00000163623	NKX61_02	protein
BCL6_01	ENSG00000167685	regulate
NFYC_Q5	ENSG00000148826	regulate
FOXO3_05	ENSG00000018607	regulate
FREAC7_01	ENSG00000221923	regulate
EGR1_16	ENSG00000119508	regulate
BCL6_01	ENSG00000105392	regulate
SETDB1_01	ENSG00000198453	regulate
POU2F1GSC2_01	ENSG00000164778	regulate
RSRFC4_01	ENSG00000131115	regulate
FOXP1_03	ENSG00000197024	regulate
ARP1_01	ENSG00000221869	regulate
ELK1_01	ENSG00000198482	regulate
ENSG00000165462	PMX2A_01	protein
ENSG00000105672	ETV2PAX5_01	protein
HOXC8_01	ENSG00000169375	regulate
PRDM12_01	ENSG00000102908	regulate
ZNF667_03	ENSG00000119614	regulate
HDAC2_06	ENSG00000169016	regulate
NFYA_03	ENSG00000197123	regulate
HFH3_01	ENSG00000198556	regulate
FOXD3_04	ENSG00000145908	regulate
RPC155_01	ENSG00000213020	regulate
HDAC2_06	ENSG00000168310	regulate
GCM2DLX3_01	ENSG00000165804	regulate
FOXP1_01	ENSG00000221869	regulate
TFAP2A_10	ENSG00000139613	regulate
FOXP3_Q4	ENSG00000070476	regulate
EGR1_12	ENSG00000167384	regulate
MYBL1ONECUT2_01	ENSG00000001167	regulate
ETS1_04	ENSG00000198816	regulate
TATA_01	ENSG00000165702	regulate
AMEF2_Q6	ENSG00000069667	regulate
SETDB1_01	ENSG00000267680	regulate
ENSG00000173917	HOXB2NHLH1_03	protein
ENSG00000131408	LXR_Q6	protein
CGBP_02	ENSG00000124813	regulate
FOX_Q2	ENSG00000130844	regulate
NFYA_03	ENSG00000012048	regulate
NFY_Q6_01	ENSG00000159885	regulate
MEF2C_02	ENSG00000167685	regulate
LXRBRXRA_Q5_01	ENSG00000179059	regulate
HDAC2_06	ENSG00000198026	regulate
ENSG00000153234	NR4A2_03	protein
FOXJ2_01	ENSG00000137090	regulate
ENSG00000245848	CHOP_01	protein
RPC155_01	ENSG00000116560	regulate
REVERBALPHA_Q6	ENSG00000186814	regulate
ENSG00000065970	FOXJ2_03	protein
FOXJ2_02	ENSG00000139800	regulate
MSX1_Q5	ENSG00000178913	regulate
IRF1_05	ENSG00000112592	regulate
HNF3_Q6_01	ENSG00000167182	regulate
HDAC2_06	ENSG00000168813	regulate
ENSG00000069667	RORALPHA_Q4	protein
ENSG00000157557	ETS_B	protein
ENSG00000170178	HOXD12EOMES_01	protein
IRF1_05	ENSG00000120798	regulate
FOXP1_01	ENSG00000139800	regulate
HDAC2_06	ENSG00000258405	regulate
HDAC2_06	ENSG00000157554	regulate
FOXP1_01	ENSG00000213015	regulate
ZNF513_01	ENSG00000172201	regulate
ENSG00000170949	ZNF160_03	protein
PPARGRXRA_02	ENSG00000115297	regulate
FOXJ2PITX1_01	ENSG00000163623	regulate
BCL6_01	ENSG00000196482	regulate
BCL6_01	ENSG00000197587	regulate
NFATC1_03	ENSG00000170653	regulate
FOX_Q2	ENSG00000169635	regulate
HSF2_Q6	ENSG00000196591	regulate
FOXO6_01	ENSG00000148516	regulate
CEBP_Q2_01	ENSG00000197782	regulate
ENSG00000187079	TEAD1_04	protein
CEBPG_Q6	ENSG00000122691	regulate
