ensembl	symbol	entrez
6	ENSG00000198888	MT-ND1	4535
10	ENSG00000198763	MT-ND2	4536
16	ENSG00000198804	MT-CO1	4512
19	ENSG00000198712	MT-CO2	4513
21	ENSG00000228253	MT-ATP8	4509
22	ENSG00000198899	MT-ATP6	4508
23	ENSG00000198938	MT-CO3	4514
25	ENSG00000198840	MT-ND3	4537
27	ENSG00000212907	MT-ND4L	4539
28	ENSG00000198886	MT-ND4	4538
32	ENSG00000198786	MT-ND5	4540
33	ENSG00000198695	MT-ND6	4541
35	ENSG00000198727	MT-CYB	4519
41	ENSG00000185231	MC2R	4158
44	ENSG00000161634	DCD	117159
45	ENSG00000243496	HLA-DOB	3112
49	ENSG00000109501	WFS1	7466
50	ENSG00000140478	GOLGA6D	653643
51	ENSG00000119801	YPEL5	51646
65	ENSG00000254999	BRK1	55845
71	ENSG00000184697	CLDN6	9074
72	ENSG00000169271	HSPB3	8988
79	ENSG00000156284	CLDN8	9073
82	ENSG00000150269	OR5M9	390162
87	ENSG00000225329	LHFPL3-AS2	723809
91	ENSG00000159231	CBR3	874
98	ENSG00000171540	OTP	23440
100	ENSG00000228146	CASP16P	197350
103	ENSG00000251372	LINC00499	100874047
115	ENSG00000125971	DYNLRB1	83658
117	ENSG00000245848	CEBPA	1050
118	ENSG00000250772	LINC01365	101927007
121	ENSG00000132429	POPDC3	64208
125	ENSG00000108684	ASIC2	40
127	ENSG00000186977	KRTAP19-5	337972
130	ENSG00000187699	C2orf88	84281
131	ENSG00000175104	TRAF6	7189
132	ENSG00000178591	DEFB125	245938
136	ENSG00000132128	LRRC41	10489
137	ENSG00000177706	FAM20C	56975
139	ENSG00000128510	CPA4	51200
140	ENSG00000280618	CYFIP1	23191
141	ENSG00000146776	ATXN7L1	222255
142	ENSG00000132357	CARD6	84674
143	ENSG00000149043	SYT8	90019
146	ENSG00000100591	AHSA1	10598
147	ENSG00000130363	RSPH3	83861
152	ENSG00000197863	ZNF790	388536
156	ENSG00000263141	PAXBP1	94104
160	ENSG00000139899	CBLN3	643866
162	ENSG00000276885	KIR2DS4	3809
166	ENSG00000164049	FBXW12	285231
174	ENSG00000184206	GOLGA6L4	643707
179	ENSG00000101446	SPINT3	10816
180	ENSG00000151665	PIGF	5281
182	ENSG00000164066	INTU	27152
184	ENSG00000105583	WDR83OS	51398
