Gene	log2FoldChange	color
ENSG00000001167	0.292125051	white
ENSG00000004848	1.058132229	red
ENSG00000005073	4.164885268	red
ENSG00000005102	2.682523718	red
ENSG00000005513	1.990962146	red
ENSG00000005801	0.397329076	white
ENSG00000005889	-0.163034147	white
ENSG00000006194	0.267278659	white
ENSG00000006377	3.1539829	red
ENSG00000006468	1.424043516	red
ENSG00000006704	1.40740515	red
ENSG00000007372	0.663280569	red
ENSG00000007866	0.078304597	white
ENSG00000007968	1.035699123	red
ENSG00000008196	-0.171656737	white
ENSG00000008441	0.192256812	white
ENSG00000009709	0.592227023	white
ENSG00000009950	-4.915297536	green
ENSG00000010030	0.166453044	white
ENSG00000010539	-0.073883848	white
ENSG00000010818	-0.479747059	white
ENSG00000012048	1.821711307	red
ENSG00000012223	-1.06562392	green
ENSG00000012504	-2.783721185	green
ENSG00000016082	5.139868665	red
ENSG00000018607	1.247835264	red
ENSG00000018869	-0.936193431	green
ENSG00000019549	-0.233431247	white
ENSG00000020256	1.082541402	red
ENSG00000020633	-1.230005223	green
ENSG00000025156	0.152543288	white
ENSG00000025434	-1.471065718	green
ENSG00000028277	-0.601610595	white
ENSG00000029153	0.783337088	red
ENSG00000029363	-0.583833034	white
ENSG00000030419	0.242831818	white
ENSG00000037965	6.828409336	red
ENSG00000039600	0.330598439	white
ENSG00000043039	5.333857665	red
ENSG00000043355	6.516736932	red
ENSG00000049768	-0.977130772	green
ENSG00000050344	1.406323379	red
ENSG00000052850	3.626235085	red
ENSG00000054598	1.942899034	red
ENSG00000057657	-0.027506633	white
ENSG00000059728	-0.843908368	green
ENSG00000061455	1.716020811	red
ENSG00000062370	1.354294626	red
ENSG00000063438	1.044863598	red
ENSG00000063515	0	white
ENSG00000063587	-0.833289706	green
ENSG00000064195	4.084948462	red
ENSG00000064218	1.139078221	red
ENSG00000064490	0.939386356	red
ENSG00000065029	-0.069154515	white
ENSG00000065970	0.662342696	red
ENSG00000065978	0.193305957	white
ENSG00000066136	-0.345353897	white
ENSG00000066336	-1.099003574	green
ENSG00000066422	-0.161379567	white
ENSG00000067082	-0.285102119	white
