Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000000003,2745.054203,0.392959014,0.352872503,1.113600553,0.265450589,0.38828514
ENSG00000000005,9.978470621,-1.279119628,1.149804341,-1.112467211,0.265937321,0.38887755
ENSG00000000419,769.1842449,-0.245478421,0.162859147,-1.507305087,0.131732474,0.222090253
ENSG00000000457,513.4940329,-0.088874195,0.181315867,-0.49016226,0.624019084,0.735272256
ENSG00000000460,322.2792802,0.260533584,0.288825148,0.902046049,0.367032406,0.496825089
ENSG00000000938,220.181065,-1.502338867,0.320092065,-4.693458643,2.69E-06,1.50E-05
ENSG00000000971,29144.5573,-3.163657581,0.517551362,-6.11274129,9.79E-10,9.23E-09
ENSG00000001036,1472.174563,-0.113654646,0.248350103,-0.457638811,0.647211955,0.754024115
ENSG00000001084,2923.894634,-2.552685447,0.24423387,-10.45180773,1.44E-25,5.95E-24
ENSG00000001167,1049.374697,0.292125051,0.195248023,1.49617418,0.134608271,0.226073475
ENSG00000001460,150.7392891,1.165898582,0.25381866,4.593431314,4.36E-06,2.34E-05
ENSG00000001461,370.1266854,1.332211212,0.212803535,6.260287044,3.84E-10,3.83E-09
ENSG00000001497,1164.432801,0.292124379,0.176938404,1.650994767,0.098739644,0.175522388
ENSG00000001561,425.4774577,0.874822397,0.280932876,3.113990824,0.001845752,0.005713043
ENSG00000001617,481.0258777,0.500925321,0.307366078,1.629735216,0.103157471,0.181934631
ENSG00000001626,3503.472876,4.392914297,0.607715139,7.228574725,4.88E-13,6.83E-12
ENSG00000001629,1396.943783,1.090051064,0.170681093,6.386478098,1.70E-10,1.77E-09
ENSG00000001630,3713.620512,-1.250520807,0.282897097,-4.420408756,9.85E-06,4.97E-05
ENSG00000001631,1028.39538,-0.059354966,0.218894862,-0.271157419,0.786269961,0.860333105
ENSG00000002016,370.6211606,0.303321541,0.246588544,1.230071502,0.218670331,0.333664753
ENSG00000002079,11.8328088,3.362095987,0.942036693,3.568965002,0.000358394,0.001315366
ENSG00000002330,447.8913829,0.138831435,0.197369178,0.703409909,0.481800333,0.610396737
ENSG00000002549,1946.450603,-1.528629409,0.274379414,-5.571224847,2.53E-08,1.96E-07
ENSG00000002586,2737.864143,-0.624116685,0.269833624,-2.312968543,0.020724369,0.047585439
ENSG00000002587,434.7434726,4.732004883,0.471801995,10.02964154,1.13E-23,4.00E-22
ENSG00000002726,86.12881614,-1.494746752,0.963582404,-1.551239152,0.120844383,0.20721406
ENSG00000002745,5.365752241,-0.967907745,0.792997421,-1.220568591,0.222249405,0.337998679
ENSG00000002746,45.18970377,3.006825205,0.739266329,4.067309825,4.76E-05,0.000210068
ENSG00000002822,415.9356543,-0.238651652,0.179030287,-1.333023898,0.182523961,0.288847538
ENSG00000002834,5200.776965,0.532837199,0.157513138,3.382811145,0.00071748,0.002447145
ENSG00000002919,333.4170693,0.048869524,0.145486221,0.335904826,0.736942638,0.82421444
ENSG00000002933,6891.444216,-3.386806557,0.467898951,-7.238329029,4.54E-13,6.38E-12
