IRF1_05	ENSG00000025434
ENSG00000162599	MYOGNF1_01
ENSG00000108511	HOXB6_01
ENSG00000180035	ZNF553_02
ENSG00000197905	TEAD4HOXA3_01
FOXJ2HOXB13_01	ENSG00000120738
AML_Q6	ENSG00000135625
ENSG00000159216	AML_Q6
ENSG00000159184	FOXJ2HOXB13_01
STAT1_05	ENSG00000162599
ENSG00000109906	PLZF_02
ENSG00000120738	EGR1_12
ENSG00000135625	KROX_Q6
TEAD4HOXA3_01	ENSG00000172789
ENSG00000172789	HOXC5_01
ENSG00000025434	LXR_Q6
ARP1_01	ENSG00000100219
HNF3_Q6_01	ENSG00000180035
HOXC5_01	ENSG00000113430
ENSG00000113430	IRX4_01
ENSG00000170608	HNF3_Q6_01
ENSG00000066336	PU1_Q4
HLF_04	ENSG00000109705
LXR_Q6	ENSG00000159184
TEAD4HOXA2_01	ENSG00000172789
HLF_04	ENSG00000110777
ZNF553_02	ENSG00000108511
ENSG00000137309	HMGIY_Q3
ENSG00000185551	ARP1_01
PLZF_02	ENSG00000137309
ENSG00000115415	STAT1_05
HOXB6_01	ENSG00000197905
ENSG00000108924	HLF_04
KROX_Q6	ENSG00000125347
JUNDFOS_01	ENSG00000159216
ENSG00000197905	TEAD4HOXA2_01
IRX4_01	ENSG00000066336
PU1_Q4	ENSG00000185551
ENSG00000130522	JUNDFOS_01
MYOGNF1_01	ENSG00000109906
HMGIY_Q3	ENSG00000130522
XBP1_01	ENSG00000108924
ENSG00000100219	XBP1_01
ENSG00000125347	IRF1_05
EGR1_12	ENSG00000170608
