COS52_02	ENSG00000164093
JUND_03	ENSG00000125285
ENSG00000197841	ZNF181_01
ENSG00000143995	MEIS1AHOXA9_01
ENSG00000198300	PEG3_02
ENSG00000125285	SOX21_07
FOXJ2_01	ENSG00000135625
MSX2_03	ENSG00000197841
ENSG00000109906	PLZF_02
ENSG00000120738	EGR1_12
ENSG00000135625	KROX_Q6
ENSG00000164093	PITX2_Q2
ETV2TBX21_03	ENSG00000168779
SHOX2_01	ENSG00000113430
ENSG00000180257	ZNF816A_02
MEIS1AHOXA9_01	ENSG00000197857
ENSG00000113430	IRX4_01
ENSG00000148200	GCNF_01
ZNF181_01	ENSG00000110851
GCNF_01	ENSG00000159184
ENSG00000066336	PU1_Q4
ZNF611_04	ENSG00000120149
IRF1_05	ENSG00000213020
ENSG00000170608	HNF3_Q6_01
HNF3_Q6_01	ENSG00000143995
PLZF_02	ENSG00000073861
ENSG00000181449	SOX2_Q3
ENSG00000130522	JUND_03
HMGIY_Q3	ENSG00000109906
PEG3_02	ENSG00000120738
IRX4_01	ENSG00000066336
PITX2_Q2	ENSG00000180257
SOX21_07	ENSG00000185252
ENSG00000136944	LMX1B_01
ENSG00000159184	HOXB13_01
ZNF44_02	ENSG00000148200
HOXB13_01	ENSG00000169856
ENSG00000065970	FOXJ2_01
KROX_Q6	ENSG00000125347
ENSG00000197857	ZNF44_02
LMX1B_01	ENSG00000137309
ENSG00000169856	ONECUT1_01
ENSG00000073861	ETV2TBX21_03
KROX_Q6	ENSG00000130522
ENSG00000120149	MSX2_03
ENSG00000185252	COS52_02
ENSG00000213020	ZNF611_04
ENSG00000110851	SC1_01
ONECUT1_01	ENSG00000181449
ENSG00000137309	HMGIY_Q3
PU1_Q4	ENSG00000198300
SOX2_Q3	ENSG00000065970
ENSG00000168779	SHOX2_01
ENSG00000125347	IRF1_05
EGR1_12	ENSG00000170608
