HOXA13_03	ENSG00000128709
ENSG00000106031	HOXA13_03
ENSG00000143995	MEIS1AHOXA9_01
AML_Q6	ENSG00000135625
FOX_Q2	ENSG00000137265
IRF4_Q5	ENSG00000064195
HNF4G_04	ENSG00000165244
ENSG00000159216	AML_Q6
ENSG00000091831	ERALPHA_Q4
ENSG00000120738	EGR1_12
ENSG00000135625	KROX_Q6
ERALPHA_Q4	ENSG00000188295
FOX_Q2	ENSG00000182141
ENSG00000137273	FOX_Q2
GCM2DLX3_01	ENSG00000165804
ENSG00000137265	IRF4_Q5
LUN1_01	ENSG00000091831
IRF1_05	ENSG00000169057
ENSG00000130522	JUNDFOS_01
ENSG00000164749	HNF4G_04
ENSG00000144852	RXRPXR_Q2
HDX_01	ENSG00000149948
MEIS1AHOXA9_01	ENSG00000197857
ENSG00000113430	IRX4_01
ENSG00000148200	GCNF_01
ENSG00000149948	HMGIY_Q3
GCNF_01	ENSG00000159184
ENSG00000066336	PU1_Q4
ENSG00000181449	SOX2_Q3
RXRPXR_Q2	ENSG00000120149
ONECUT1_01	ENSG00000181449
ENSG00000170608	HNF3_Q6_01
FOXO1HOXA10_01	ENSG00000197579
ENSG00000182141	ZNF708_02
HNF3_Q6_01	ENSG00000143995
MECP2_Q4_01	ENSG00000185551
ENSG00000198300	PEG3_02
ZNF708_02	ENSG00000164749
PEG3_02	ENSG00000120738
IRX4_01	ENSG00000066336
IRF1_05	ENSG00000253293
ENSG00000064195	GCM2DLX3_01
ENSG00000185551	COUPTF_Q6
ENSG00000091831	ER_Q6
ENSG00000169057	MECP2_Q4_01
ENSG00000159184	HOXB13_01
FOXJ2_01	ENSG00000165259
ZNF44_02	ENSG00000148200
HOXB13_01	ENSG00000169856
ENSG00000065970	FOXJ2_01
KROX_Q6	ENSG00000125347
ENSG00000197857	ZNF44_02
JUNDFOS_01	ENSG00000159216
ENSG00000169856	ONECUT1_01
ENSG00000120149	MSX2_03
ENSG00000253293	FOXO1HOXA10_01
IRF1_05	ENSG00000137273
MSX2_03	ENSG00000113430
ENSG00000165259	HDX_01
HMGIY_Q3	ENSG00000130522
PU1_Q4	ENSG00000198300
ENSG00000197579	LUN1_01
COUPTF_Q6	ENSG00000106031
SOX2_Q3	ENSG00000065970
ER_Q6	ENSG00000176222
ENSG00000125347	IRF1_05
EGR1_12	ENSG00000170608
